Artwork_20,Artwork_21,Artwork_22,Artwork_23,Artwork_24,Artwork_25,Artwork_26,Artwork_27,Artwork_28,Artwork_30
21,54,44,36,23,35,39,9,37,44
41,50,40,13,24,66,52,11,68,83
52,59,44,18,34,40,22,9,78,83
52,75,47,61,34,55,41,16,33,43
43,53,46,52,33,55,44,16,27,67
48,79,40,51,29,52,52,8,93,41
54,63,42,28,14,68,43,15,64,58
37,52,44,50,26,37,52,16,49,66
31,55,43,58,35,51,43,18,94,87
17,62,40,18,35,42,65,10,64,59
49,62,44,33,19,41,54,15,54,66
30,66,48,59,23,63,91,12,56,85
16,78,34,32,18,60,49,15,50,71
19,79,43,38,18,32,77,8,25,40
54,69,46,55,22,31,72,16,85,43
61,55,38,23,30,67,71,20,92,49
25,72,38,35,27,41,21,10,23,62
21,49,38,43,24,37,93,17,44,66
37,58,48,13,16,47,71,16,32,87
16,64,41,21,14,51,66,17,66,83
12,74,44,13,32,64,34,20,81,71
47,54,34,46,22,58,68,13,35,49
50,61,39,60,27,44,52,18,70,85
54,56,39,13,27,62,18,19,62,48
39,48,48,30,14,56,40,17,65,41
40,76,36,40,25,50,61,10,72,59
57,54,44,31,35,45,66,18,51,87
18,66,40,47,35,53,63,13,53,64
35,74,46,28,31,50,65,10,72,84
33,54,46,19,35,32,78,17,63,53
46,59,43,25,20,50,76,15,34,61
58,48,45,39,33,41,54,9,32,83
11,57,42,41,15,41,44,9,87,51
74,48,38,48,24,63,29,10,67,74
13,68,44,35,19,59,38,12,43,55
62,55,35,16,30,67,75,14,91,71
69,75,39,20,29,60,87,16,91,46
72,64,34,45,22,67,74,15,36,49
14,60,41,39,35,48,44,12,46,41
11,77,42,23,36,54,92,18,46,76
46,53,46,26,22,53,35,15,47,81
32,54,41,41,15,68,46,9,22,82
60,52,38,38,26,41,33,11,30,88
53,55,46,24,25,55,65,20,77,50
41,54,39,54,28,61,23,19,49,76
39,49,38,45,19,55,53,19,72,70
39,64,39,38,27,42,32,19,47,60
50,56,46,30,22,33,29,20,43,73
44,64,44,33,26,39,49,10,23,84
13,53,39,21,24,34,60,16,48,51
23,58,41,38,29,56,35,8,51,62
36,52,37,44,26,36,65,8,40,58
21,62,40,27,20,51,62,15,36,76
20,64,44,53,17,46,63,11,86,42
62,63,37,61,36,39,58,9,90,81
38,54,34,53,30,58,19,13,29,82
44,52,36,53,29,64,79,16,64,72
70,65,37,59,14,47,22,16,92,90
71,59,37,30,33,37,20,14,49,41
50,67,36,39,19,62,68,13,88,90
20,69,48,20,14,38,42,19,87,83
78,73,38,32,34,40,91,8,51,50
11,66,35,16,28,46,93,8,81,49
59,69,45,24,36,45,50,17,79,54
53,60,46,37,26,50,18,8,66,73
27,54,41,16,17,58,46,20,94,78
80,51,36,28,22,43,95,13,30,63
17,66,35,33,32,50,91,13,50,41
63,76,37,16,33,64,38,9,56,73
69,67,40,54,36,34,29,14,47,70
62,68,41,34,23,54,63,18,22,77
14,48,42,42,23,47,39,20,29,57
35,61,40,32,17,50,19,13,53,73
60,54,35,38,18,34,49,18,70,44
71,53,42,20,22,63,24,15,35,43
75,62,36,32,23,40,60,20,91,57
13,62,40,18,33,38,93,17,32,91
72,58,39,16,21,35,42,13,55,77
27,62,45,54,31,64,32,8,45,78
21,53,45,56,21,64,63,20,63,86
48,73,47,32,30,40,66,19,50,51
73,52,40,55,24,59,71,17,52,90
